Karza FSSAI Address,LFA1_Address,Vendor code ,FSSAI Number ,Remarks,Score,pincodes,Final Remark
"C/O. M/S. S M LOGISTICS, KHASRA NO. 146/17/18/1, VILLAGE BAHU AKBARPUR, HISSAR ROAD, ROHTAK, ROHTAK, HARYANA, 124001",C O M S LOGISTICS KHASRA NO 146 17 18 1 VILLAGE HARYANA 124001,10001035,10821999000060,match,100,True,Match
"VALAMKOTTIL, GROUND FLOOR, NO. 13/365 A (OLD NO.: 7/230 B), IAC ROAD, KUTTIKATTUKARA P.O, ELOOR MUNICIPALITY , ERNAKULAM, KERALA, 683504",VALAMKOTTIL   GROUND FLOOR  NO  13 365 A  OLD NO  7 230 B  KERALA 683504,10036704,11320007001517,match,94.2307692307692,True,Match
"C/O M/S BMS GODOWN, DOOR NO : 8-157, BESIDE POLAVARAM CANAL, SURAMPALI, GANNAVARAM MANDALAM, VIJAYAWADA, N T R, ANDHRA PRADESH, 521212",BESIDE POLAVARAM CANAL  SURAMPALI GANNAVARAM MANDALAM  VIJAYAWADA ANDHRA PRADESH 521212,10001202,10121999000119,match,100,True,Match
"C/O M/S BMS GODOWN, DOOR NO : 8-157, BESIDE POLAVARAM CANAL, SURAMPALI, GANNAVARAM MANDALAM, VIJAYAWADA, N T R, ANDHRA PRADESH, 521212",C O M S BMS GODOWN  D N 1912 BESIDE POLAVARAM CANAL SURAMPALI GANNAV ANDHRA PRADESH 521212,10293241,10121999000119,match,90.6666666666667,True,Match
"C/O M/S BMS GODOWN, DOOR NO : 8-157, BESIDE POLAVARAM CANAL, SURAMPALI, GANNAVARAM MANDALAM, VIJAYAWADA, N T R, ANDHRA PRADESH, 521212",SURVEY NO 53 2 A BLOCK GVPR MINERALS ANDHRA PRADESH 530013,25015783,10121999000119,not match,50,False,Not Match
"ADANI WILMAR LIMITED C/O BALAJI WAREHOUSE KHASRA NO 95, NH-12 NEW BYPASS 11TH MILE TO RAISEN ROAD VILLAGE BARRAI- BHOPAL PIN NO - 462047, BHOPAL, MADHYA PRADESH, 462047",C O BALAJI WAREHOUSE  KHASRA NO 95 NH 12 NEW BYPASS  VILLAGE BARRAI MADHYA PRADESH 462047,10001515,10020026001815,match,91.156462585034,True,Match
"MODULAR FOOD PARK LTD, DAKSHIN RAJYADHARPUR, SERAMPORE, HOOGHLY, WEST BENGAL, 712203",MODULAR FOOD PARK LTD  DAKSHIN RAJYADHARPUR  WEST BENGAL 712203,10002566,12821007000120,match,100,True,Match
"MODULAR FOOD PARK LTD, DAKSHIN RAJYADHARPUR, SERAMPORE, HOOGHLY, WEST BENGAL, 712203",MODULAR FOOD PARK LTD DAG NO  261 262  SERAMPORE WEST BENGAL 712203,10186086,12821007000120,match,85.1485148514852,True,Match
"MODULAR FOOD PARK LTD, DAKSHIN RAJYADHARPUR, SERAMPORE, HOOGHLY, WEST BENGAL, 712203",DAG NO  261 262 SERAMPORE MODULAR FOOD PARK LTD  WEST BENGAL 712203,25010293,12821007000120,match,85.1485148514852,True,Match
"MODULAR FOOD PARK LTD, DAKSHIN RAJYADHARPUR, SERAMPORE, HOOGHLY, WEST BENGAL, 712203",DAG NO  261 262 SERAMPORE DAKSHIN RAJYADHARPUR WEST BENGAL 712203,25013544,12821007000120,match,84.8484848484848,True,Match
"M/S. OLAM FOOD INGREDIENTS INDIA PRIVATE LIMITEDR.SY NO.303/1,304/1,2P,308/3,5,6, 309/1 TO 6, MARUPALLI VILLAGE, GAJAPATHI NAGARAM MANDAL, VIZIANAGARAM DISTRICT, ANDHRA PRADESH-535270, VIZIANAGARAM, ANDHRA PRADESH, 535270",JELLUDUPUDI  VEMULAPUDI  PO   VISHAKHAPATNAM DIST ANDHRA PRADESH 531117,10010700,10015044001007,not match,37.8378378378378,False,Not Match
"SURVEY NO.74/2, BYDARAHALLI VILLAGE, NH4 , KASABAHOBLI, TUMKUR ROAD, NELAMANGALA TALUK, BANGALORE RURAL, PIN - 562123, BANGALORE RURAL, KARNATAKA, 562123",SURVEY NO 74 2  BYDARAHALLI VILLAGE NH4  KASABA HOBLI  TUMKUR ROAD KARNATAKA 562123,10002651,10021043000206,match,90.2255639097744,True,Match
"D NO:10-50-11/3, RAMNAGAR, VISAKHAPATNAM., VISAKHAPATNAM, ANDHRA PRADESH, 530004",D NO 10 50 11C RAMNAGAR ANDHRA PRADESH 530002,10020719,10116028000402,not match,79.3650793650794,False,Ok But Wrong Pincode
"D-4, SMA INDUSTRIAL ESTATE, G.T. KARNAL ROAD, DELHI-110033, NORTH   , DELHI, 110033",D 4  SMA INDUSTRIAL ESTATE  GT KARNAL ROAD DELHI 110033,10004799,10013011001406,match,91.7647058823529,True,Match
"C/O WESTERN SUPER FRESH CORPORATION, PLOT NO C 9/3, MIDC RAMKISHAN BUS STOP, NEXT TO JAY CONTAINER YARD, TALOJA, RAIGAD, MAHARASHTRA, 410208",2ND FLOOR  208  SWASTIK CHAMBERS CST ROAD  CHEMBUR EAST MAHARASHTRA 400071,10004950,11518024001340,not match,41.4893617021277,False,Not Match
"B-7, SURAJPOL ANAJ MANDI, JAIPUR , JAIPUR, RAJASTHAN, 302003",G 17 SURAJPOLE ANAJ MANDI RAJASTHAN 302003,10016554,12215026000212,match,85.3333333333333,True,Match
"C/O ABHISHEK ENTERPRISES, SURVEY 54, PO VILLAGE PEERKARADIA, THESIL SANWER, DISTRICT INDORE -453771 MADHYA PRADESH, INDORE, MADHYA PRADESH, 453771",C O ABHISHEK ENTERPRISES  SURVEY 54 PO VILLAGE PEERKARADIA THESIL SANWE MADHYA PRADESH 453771,10005038,11423999000159,match,96.3414634146342,True,Match
"C/O ABHISHEK ENTERPRISES, SURVEY 54, PO VILLAGE PEERKARADIA, THESIL SANWER, DISTRICT INDORE -453771 MADHYA PRADESH, INDORE, MADHYA PRADESH, 453771",C O ABHISHEK ENTERPRISES  SURVEY 54 PO VILLAGE PEERKARADIA THESIL SANWE MADHYA PRADESH 453771,10006194,11423999000159,match,96.3414634146342,True,Match
"C/O. B. T. M. AGENCIES, KHASAR NO - 108/1/1/2, VILLAGE- DOBRA, HALKA KHEJDADEV,, BHOPAL, MADHYA PRADESH, 462036",BTM AGENCIES  KHASAR NO 501  GANDHINAGAR CIRCLE MADHYA PRADESH 462036,10006186,11416010000196,not match,70.9677419354839,True,Match
"C.S.NO.433/53,  PLOT NO.276,  JAGGARY MARKET,  SHRI SHAHU MARKET YARD, KOLHAPUR, MAHARASHTRA, 416005",BLOCK NO 165 SHAHU MARKET YARD  MAHARASHTRA 416005,10007432,11518042000281,match,86.4864864864865,True,Match
"SUITE NO. 207, THE PEACH TREE, C-BLOCK, SUSHANT LOK PHASE -1, GURGAON, HARYANA - 122002, GURUGRAM, HARYANA, 122002",70 B 1  INDUSTRIAL AREA  MAIN RAMA ROAD DELHI 110015,10009263,10013064000239,not match,31.7460317460317,False,Not Match
"39-40 UDHYOG NAGAR NEAR NEW ANAJ MANDI GATE NAVALKHA INDORE, INDORE, MADHYA PRADESH, 452001",39 40B  UDYOG NAGAR  NAI ANAJ MANDI  NAVLAKHA MADHYA PRADESH 452001,10007968,10015026000692,match,80.9160305343511,True,Match
"4049 B NAYA BAZAR,DELHI, CENTRAL, DELHI, 110006",4049 B NAYA BAZAR  DELHI 110006,10015396,13321005000128,match,100,True,Match
"ADARSH SABHAGART, ADARSH NAGAR, WADI, NAGPUR, NAGPUR, MAHARASHTRA, 440023",SHOP NO 8  BLDG NO B 06  GR FLR PRITESH COMPLEX  VALVILLAGE DIST TH MAHARASHTRA 421302,10008031,11517056000446,not match,47.0588235294118,False,Not Match
"443, UDHYOG KENDRA EXT.-II, ECOTECH-III, GREATER NOIDA, G.B.NAGAR, GAUTAM BUDDHA NAGAR , UTTAR PRADESH, 201308",443ECOTECHIIIU KEXTN GREATERNOIDA UTTAR PRADESH 201308,10009323,12716055000185,not match,61.7647058823529,True,Match
"GODOWN NO. 315, U.P.STATE WAREHOUSING CORPORATION STATE WAREHOUSE CITY UNIT, BAREILLY, UTTAR PRADESH, 243122",GODOWN NO 315  CORPORATION STATE WAREHOUSE CITY UTTAR PRADESH 243122,10016336,10013051000733,match,100,True,Match
"C/O K B ENTERPRISES, BATRA COMPOUND, NEW SABJI MANDI, NIRANJANPUR, DEHRADUN, DEHRADUN, UTTARAKHAND, 248001",BATRA COMPOUND NEW SABJI MANDINIRANJANPUR UTTARANCHAL 248001,10016400,12614005000064,not match,73.5294117647059,True,Match
"C/O. ORICLEAN PRIVATE LIMITED, PLOT NO. 1306, BANDALO, PO. KOTASHAI, PS.TANGI, CUTTACK(EXCEPT MUNICIPAL CORPORATION), ORISSA, 754022",C O  ORICLEAN PRIVATE LIMITED PLOT NO 1306  BANDALO ODISHA 754022,10019046,10012032000134,match,93.3333333333333,True,Match
"DELITE FOODS PVT LTD - N 24, APMC MARKET II, PHASE II, VASHI, NAVI MUMBAI, NAVI MUMBAI MUNICIPAL CORPORATION (THANE ZONE-4), MAHARASHTRA, 400703",E15  APMC MARKET II  PHASE II VASHI  NAVI MUMBAI MAHARASHTRA 400703,10024643,11517016000675,match,96.1538461538462,True,Match
"PLOT NO. A-92 TO 95, CO-OP. INDUSTRIAL ESTATE, OLD MIDC, JALGAON 425003., JALGAON, MAHARASHTRA, 425003",A  92 TO 95 OLD MIDC JALGAON MAHARASHTRA 111111,10027694,10019022009528,ok check Pin,93.1506849315069,False,Ok But Wrong Pincode
"BEHIND TOURIST MOTEL VILLAGE KANAWATI NEEMUCH, NEEMUCH , MADHYA PRADESH, 458441",BUNGLOW NO58  STATION ROAD NEEMUCH  M P  MADHYA PRADESH 458441,10038240,11418770000099,not match,60.7142857142857,True,Match
"KATARIA AGENCY,KATARIA CHAMBERS,ZANZARDA ROAD, JUNAGADH., JUNAGADH, GUJARAT, 362001",KATARIA CHAMBERS ZANZARDA ROAD DHANDHUSAR GUJARAT 362001,10038646,10718029000010,match,87.3563218390805,True,Match
"ANANTA BASUDEV TEMPLE,PLOT NO-2266/5879,KITITIRTHA LANE,OLD TOWN, BHUBANESWAR MUNICIPAL CORPORATION, ORISSA, 751002",HOLDING NO 188 WARD NO 42 ODISHA 751002,10040117,12023033000287,not match,26.865671641791,True,Not Match
"23/75B,MEANGATTU STEET, PASUPATHIPALAYAM, KARUR., KARUR  , TAMIL NADU, 639004",75B  L25 MENKATTU STREET SANKAR NAGAR TAMIL NADU 639004,10043248,12415010000069,not match,67.9611650485437,True,Match
"KHEWAT/KHATA NO.42/42, RECT. NO. 1, KILLA NO. 14/2(0-2), 15/2(3-7), 16(8-0) RECT. NO. 2 KILLA NO. 11(5-11), 12(6-0), 13/1(5-11), 18/1/2(7-4), 19(8-0), 20(8-0), KITA 9, AND KHEWAT/KHATA NO. 66/66, RECT. NO. 2 KILLA NO.6/2(2-6), 14/1(2-12), 15/1(1-7)KITA 3 SITUATED IN REVENUE ESTATE, TAJ NAGAR, FARUKH NAGAR, GURUGRAM, HARYANA, 122506",KHASRA NO 3 19 2 222 2 NEAR JAMALPU CHOWK VILLAGE TAJNAGAR HARYANA 122506,10046049,10825999000268,not match,35.8974358974359,True,Not Match
"NO.172/1, 6TH MAIN ROAD, APMC YARD YESHWANTHPUR , BANGALORE-560022, B.B.M.P WEST, KARNATAKA, 560022",172 1 6TH MAIN ROAD APMC YARD KARNATAKA 560006,10054244,11214332000463,ok check Pin,100,False,Ok But Wrong Pincode
"M/S MONIKA AGENCY, 49, G-BLOCK, SUBCITY CENTER, RETI STAND, UDAIPUR, UDAIPUR, RAJASTHAN, 313001",440 SECTOR 11 HIRAN MAGRI RAJASTHAN 313001,10074074,12217042000149,not match,44.8598130841121,True,Not Match
"M/S MONIKA AGENCY, 49, G-BLOCK, SUBCITY CENTER, RETI STAND, UDAIPUR, UDAIPUR, RAJASTHAN, 313001",49 G BLOCK SUBCITY CENTER RET STAND  RAJASTHAN 313001,10252771,12217042000149,match,84.6153846153846,True,Match
"SARVESHWARA, NO.17/A, 4TH CROSS, KAMARAJ NAGAR, ARIYANKUPPAM, PUDUCHERRY-605007, PUDUCHERRY, PUDUCHERRY, 605007",17 A 4TH CROSS  KAMARAJ NAGAR  ARIYANKUPPAM  PUDUCHERRY 605007,10075050,13518001000164,match,100,True,Match
"T-71 JAI MATA DI COMPLEX KALHER VILLAGE DIST BHIWANDI  , BHIWANDI MUNICIPAL CORPORATION (THANE ZONE-5)    , MAHARASHTRA, 421302",T71 72 JAI MATADI COMPOUND NEAR PALIWAL DAIRY KALHER MAHARASHTRA 421302,10083032,11517018000752,not match,57.8313253012048,True,Match
"T-71 JAI MATA DI COMPLEX KALHER VILLAGE DIST BHIWANDI  , BHIWANDI MUNICIPAL CORPORATION (THANE ZONE-5)    , MAHARASHTRA, 421302",JAIMATA DI COMPOUND NEAR PALIWAL DAIRY KHALER MAHARASHTRA 421302,25014330,11517018000752,not match,52.8301886792453,True,Match
"VI/200 INDUSTRIAL DEVELOPMENT AREA,  ANGAMALY SOUTH,  ERNAKULAM,  KERALA 683573, ERNAKULAM, KERALA, 683573",INDUSTRIAL DEVELOPMEN ANGAMALY SOUTH PO KERALA 683573,10084082,11315007000977,match,82.051282051282,True,Match
"SBN DAIRY, 43, MODERN NAGAR, NANDHAVANAPATTY, KARUR ROAD, DINDIDUL-1, DINDIGUL, TAMIL NADU, 624001",P 14 A JUBLIEE BUILDING BESCHI  COLLEGE  COMPLEX TAMIL NADU 624001,10093347,12416006000100,not match,42.8571428571429,True,Not Match
"179/1, 179/2, PALDA NAKA, PATTHAR MUNDLA ROAD, INDORE, INDORE, MADHYA PRADESH, 452020",179 1PALODA NAKA MADHYA PRADESH 452020,10098893,11414850002425,match,85.1851851851852,True,Match
"F-1715-1716 DSIIDC INDUSTRIAL AREA, NARELA, NORTH   , DELHI, 110040",F 1715   DSIDC  NARELLA  DELHI DELHI 110040,10105690,13316002000579,not match,53.1645569620253,True,Match
"H-40,APMC MARKET-I,PHASE-II,VASHI,MASALA MARKET,VASHI,NAVI MUMBAI-400705, NAVI MUMBAI MUNICIPAL CORPORATION (THANE ZONE-3), MAHARASHTRA, 400705",J 11 APMC MARKET PHASR  II VASHI MAHARASHTRA 400703,10110279,11518017000291,not match,80.5555555555556,False,Ok But Wrong Pincode
"RICHLAND COMMERCIAL HUB, BUILDING NO.D-7, UNIT NO.13 TO 17, OPP. GRAND BEE HOTEL, MUMBAI NASHIK HIGHWAY, NH-3, VADPE VILLAGE, BHIWANDI, BHIWANDI MUNICIPAL CORPORATION (THANE ZONE-5)    , MAHARASHTRA, 421302",RICHLAND COMMERCIAL HUB BLDG  D 7 UNIT NO 13 TO 17  GRAND BEE HOTEL MAHARASHTRA 421302,10111895,11521999000324,match,93.7931034482759,True,Match
"48/1162 (30/1796F)DIPAM ROADPONNURUNNI, ERNAKULAM, KERALA, 682019",39 5274APLOT NO G2ND FLOOR K C JOSEPH ROAD8TH CROSS KERALA 682016,10112385,11317007002167,not match,38.9380530973451,False,Not Match
"61,VENKATRAMIER ST, KONDITHOPE, CHENNAI, TAMIL NADU, 600079",61VENKATRAMIER ST KONDTIHOPE TAMIL NADU 600001,10115789,12418002005335,not match,71.5789473684211,False,Ok But Wrong Pincode
"P-16, KALAKAR STREET, 6TH FLOOR, OM TOWER, KOLKATA, WEST BENGAL, 700007",4 RAM KUMAR RAKHIT LANE WEST BENGAL 700007,10116072,10013031000706,not match,51.6129032258065,True,Match
"D-63 SECTOR A-2 , TRONICA CITY INDUSTRIAL AREA ,  LONI ,  GHAZIABAD ,  U.P, GHAZIABAD, UTTAR PRADESH, 201102",D 63 SECTOR A2 TRONICA CITY INDUSTRIAL AREA UTTAR PRADESH 201102,10116326,10016051001876,match,92.4528301886793,True,Match
"D-63 SECTOR A-2 , TRONICA CITY INDUSTRIAL AREA ,  LONI ,  GHAZIABAD ,  U.P, GHAZIABAD, UTTAR PRADESH, 201102",TRONICA CITY LONI D 63 SECTOR A 2 UTTAR PRADESH 201103,25011090,10016051001876,not match,89.4117647058824,False,Ok But Wrong Pincode
"D-63 SECTOR A-2 , TRONICA CITY INDUSTRIAL AREA ,  LONI ,  GHAZIABAD ,  U.P, GHAZIABAD, UTTAR PRADESH, 201102",TRONICA CITY D 63 INDUSTRIAL LONI UTTAR PRADESH 201103,25011091,10016051001876,ok check Pin,94.3820224719101,False,Ok But Wrong Pincode
"D-63 SECTOR A-2 , TRONICA CITY INDUSTRIAL AREA ,  LONI ,  GHAZIABAD ,  U.P, GHAZIABAD, UTTAR PRADESH, 201102",D 63  VKC NUTS PVT LTD SECTOR A2 TRONICA CITY INDUSTRIAL  UTTAR PRADESH 201102,29000733,10016051001876,not match,77.8761061946903,True,Match
"NICE DISTRIBUTORS,KATTODU,MANJADI P.O.,THIRUVALLA, PATHANAMTHITTA, KERALA, 689105",PLANTHOTTATHIL H 6 639 KATTODU KERALA 689105,10125581,11317003000103,not match,56.0747663551402,True,Match
"PLOT NO. 103B,  SECTOR-29,  YEIDA, GAUTAM BUDDHA NAGAR , UTTAR PRADESH, 203209",PLOT NO 103B FG STORE 4200 SQUARE M MURAD GARHI SECTOR 29 YAMUNA EXPRES UTTAR PRADESH 203209,10129676,12723999000195,not match,59.0909090909091,True,Match
"PLOT NO. 103B,  SECTOR-29,  YEIDA, GAUTAM BUDDHA NAGAR , UTTAR PRADESH, 203209",PLOT NO 103B  SECTOR 29  YEIDA  MUR GARHI  GAUTAM BUDDHA NAGAR  UTTAR UTTAR PRADESH 203209,20010501,12723999000195,match,91.2280701754386,True,Match
"PLOT NO. C-1 AND C-2, OLD M.I.D.C., JALNA TAQ. DIST. JALNA., JALNA, MAHARASHTRA, 431203",BAJRANG DALL MILL  S P  ROAD MAHARASHTRA 431203,10133133,11515045000673,not match,52.0833333333333,True,Match
"PLOT NO. C-1 AND C-2, OLD M.I.D.C., JALNA TAQ. DIST. JALNA., JALNA, MAHARASHTRA, 431203",PLOT NO C 1 C 2  OLD M I D C  JALNA JALNA MAHARASHTRA 431203,10309562,11515045000673,match,94.8717948717949,True,Match
"P.K. BANDHU CAMPUS, DHAR ROAD, S. NO. 24/1-PGRAM BANK, , INDORE, MADHYA PRADESH, 452002",P K  BANDHU CAMPUS GRAM BANK MADHYA PRADESH 452001,10134411,11415850000906,ok check Pin,93.6708860759494,False,Ok But Wrong Pincode
"SRI NAVEEN KUMAR AND PARTNERS,SY.NO.647/2, CHIKALPARVI ROAD, MANVI , RAICHUR, KARNATAKA, 584123",647 3 CHIKALPARVI ROAD KARNATAKA 584133,10140656,11219324000353,ok check Pin,96.7741935483871,False,Ok But Wrong Pincode
"PLOT NO. 42, PREMIER HOSTEL, LAVA, NAGPUR RURAL, NAGPUR, MAHARASHTRA, 440023",PLOT NO 42  PREMIER HOSTEL  NEAR HANUMAN MANDIR  KHADGAON ROAD  MAHARASHTRA 440023,10141014,11522056000599,match,80.4347826086957,True,Match
"C- 10/3, MIDC PHASE 3 , AKOLA, AKOLA, MAHARASHTRA, 444103",PLOT NO C 10 3 MIDC PHASE 3 MAHARASHTRA 444104,10147554,11516052000474,not match,85.7142857142857,False,Ok But Wrong Pincode
"VILLAGE NAUGON, INDUSTRIAL AREA BINA, SAGAR, MADHYA PRADESH, 470113",NAUGAON INDUSTRIAL AREA BINA  470113 M P  MADHYA PRADESH 470113,10148650,11414470000381,match,85.3658536585366,True,Match
"D.NO.54-18/2-1, PRASANTHI NAGAR, SIVAPURAM COLONY, OPP.ITI COLLEGE, 9TH AVENUE GUEST HOUSE ROAD, VIJAYAWADA, N T R, ANDHRA PRADESH, 520008",2 55MUDINEPALLI  ROAD KALAVAPUDI ROAD AGRAHARAM ANDHRA PRADESH 521325,10149064,10119006001115,not match,50.6666666666667,False,Ok But Wrong Pincode
"32/764, KUMARAPURAM ROAD, VAZHAKKALA, KAKKANAD WEST P O , ERNAKULAM, KERALA, 682030",DOOR NO TR44 92 395 UPASANA NAGAR KERALA 691001,10151971,11322007000425,not match,44.0366972477064,False,Not Match
"3-35/A,  36/A,  37/A AT SY.NO.178,   SARANGAPOOR, NIZAMABAD, TELANGANA, 503186",DOOR NO 3 89 A SARANGAPUR TELANGANA 503186,10152618,13615009000241,not match,63.0434782608696,True,Match
"C 33, 34, UPPALWADI INDUSTRIAL AREA, KAMPTEE ROAD NAGPUR, NAGPUR, MAHARASHTRA, 440026",GANDHIBAGH NAGPUR MAHARASHTRA 440002,10154002,10014022003313,not match,76.5957446808511,False,Not Match
"SF NO:869, DHARAPURAM ROAD, KANGAYAM., TIRUPUR, TAMIL NADU, 638701",S F NO 869 DHARAPURAM ROAD AD KANGAYAM TAMIL NADU 638701,10155085,12423027000824,match,83.3333333333333,True,Match
"N.H.7,PATAN BY PASS CHOWK,JABALPUR, JABALPUR, MADHYA PRADESH, 482002",PH  NO  23 MAHARAJPUR JABALPUR MADHYA PRADESH 482001,10162795,11417170000311,not match,69.6969696969697,False,Ok But Wrong Pincode
"45 WAREHOUSE ROAD SIYAGANJ INDORE, INDORE, MADHYA PRADESH, 452002",45 WARE HOUSE ROAD SIYAGANJ IN 45 WARE HOUSE ROAD SIYAGANJ IN MADHYA PRADESH 452001,10164331,11414850001847,not match,83.8709677419355,False,Ok But Wrong Pincode
"SHOP NO 9, MAHALAXMI VEGETABLE MARKET, NR DIPAK PETROL PUMP, ASHRAM ROAD, PALDI, AHMEDABAD, AHMEDABAD, GUJARAT, 380007",SINOOR PARTY PLOT AHMEDABAD AHMEDABAD GUJARAT 380006,10165161,10724026000196,not match,65.3846153846154,False,Ok But Wrong Pincode
"WARD NO 32, CHAWAL MARKET, ITARSI, NARMADAPURAM, MADHYA PRADESH, 461111",CHAWAL LINE ITARSI   MADHYA PRADESH 461001,10165442,11422110000216,ok check Pin,91.8032786885246,False,Ok But Wrong Pincode
"ABBOTT HEALTHCARE PVT. LTD.,GODOWN AREA - B14 - A1,BEHIND JP HOSPITAL,PABHAT,ZIRAKPUR,PUNJAB,140603, MOHALI, PUNJAB, 140603",C O DYNAMIC TRADE SOLUTION PVT  LTD NH 44  G T ROAD  PUNJAB 140417,10167770,10019063001515,not match,47.682119205298,False,Not Match
"ABBOTT HEALTHCARE PVT. LTD.,GODOWN AREA - B14 - A1,BEHIND JP HOSPITAL,PABHAT,ZIRAKPUR,PUNJAB,140603, MOHALI, PUNJAB, 140603",VILLAGE BAPROR  NH 44 G T ROAD PUNJAB 140417,25010655,10019063001515,not match,38.1679389312977,False,Not Match
"ABBOTT HEALTHCARE PVT. LTD.,GODOWN AREA - B14 - A1,BEHIND JP HOSPITAL,PABHAT,ZIRAKPUR,PUNJAB,140603, MOHALI, PUNJAB, 140603",GODOWN AREA   B14   A1 BEHIND J P   HOSPITAL PUNJAB 140603,25010656,10019063001515,match,95.3488372093023,True,Match
"2603, NAI BASTI, NAYA BAZAR, CENTRAL, DELHI, 110006",2603 MAZENINE FLOOR NAI BASTI NAYA BZAR DELHI 110006,10168686,13323999000431,not match,78.5714285714286,True,Match
"D-7, APMC MARKET II, PHASE II, DANABUNDER,VASHI, NAVI MUMBAI , NAVI MUMBAI MUNICIPAL CORPORATION (THANE ZONE-4), MAHARASHTRA, 400703",D 7 APMC MARKET II DANA BUNDER VASHI MAHARASHTRA 400703,10168746,11517016000711,match,80,True,Match
"NO.13,NEW SAYYAJI RAO ROAD,BAMBOO BAZAR,MYSORE., MYSORE, KARNATAKA, 570019",2360 CHAMARAJPURAM RAILWAY GAT KG KOPPA KARNATAKA 570009,10170122,11220335000504,not match,51.4285714285714,False,Ok But Wrong Pincode
"PLOT NO. DTA 004-004A , 005 KHASRA NO. 574 VILLAGE TILAWAS  MAHINDRA SEZ SANGANER JAIPUR , JAIPUR, RAJASTHAN, 302037",PLOT NO  DTA 004 004A 005 KHASRA NO  574 VILLAGE RAJASTHAN 302037,10173505,10018013001471,match,90.7216494845361,True,Match
"W-202A MIDC,  TTC INDUSTRIAL AREA,  KHAIRNE,  NAVI MUMBAI, THANE, MAHARASHTRA, 400710",W 202 A MIDC TTC INDUSTRIAL AREA MAHARASHTRA 400710,10174767,10016022005363,match,90,True,Match
"W-202A MIDC,  TTC INDUSTRIAL AREA,  KHAIRNE,  NAVI MUMBAI, THANE, MAHARASHTRA, 400710",NAVI  W 202 MIDC KHAIRNE MAHARASHTRA 400710,25014002,10016022005363,match,90.625,True,Match
